model_name,val_accuracy,overfitting_epoches_acc,overfitting_epoches_loss,acc_diff_avg,time,eval_time,crash
VGG16-2,"[0.6343749761581421, 0.7706516480445862, 0.8220300769805908, 0.8414536213874817, 0.8533583974838257]",,,-0.016000000000000014,10582.642942667,2088.87284731865,
VGG16,"[0.6343749761581421, 0.7506516480445862, 0.7120300769805908, 0.6114536213874817]",3 4 ,,0.08249999999999999,10582.642942667,2088.87284731865,
