model_name,accuracy_history,validation_accuracy,acc_diff_avg,loss_diff_avg,train_time,num_model_params,time_per_param,eval_time,crash
10relu_adam_dropout_0.2_At_7_v1,"[0.7697291374206543, 0.9307291507720947, 0.9471874833106995, 0.956125020980835, 0.9618124961853027, 0.9665833115577698, 0.9702500104904175, 0.9742916822433472, 0.9749583601951599, 0.9762916564941406]","[0.9242500066757202, 0.9490833282470703, 0.956250011920929, 0.9564999938011169, 0.9542499780654907, 0.9607499837875366, 0.9589166641235352, 0.9643333554267883, 0.9596666693687439, 0.968916654586792]",0.023966675996780394,0.07632931247353554,12.31825566291809,61162,0.00020179205211171502,0.6072747707366943,-
10relu_adam_dropout_0.9_At_7_v1,"[0.4584375023841858, 0.6904791593551636, 0.8039583563804626, 0.8654166460037231, 0.8826249837875366, 0.9012291431427002, 0.9070833325386047, 0.9124374985694885, 0.9177083373069763, 0.9238333106040955]","[0.3291666805744171, 0.3034999966621399, 0.12816666066646576, 0.22041666507720947, 0.2160000056028366, 0.21808333694934845, 0.21958333253860474, 0.21850000321865082, 0.16891667246818542, 0.22466666996479034]",0.6016208246350289,3.92843873500824,12.342005491256714,61162,0.00020179205211171502,0.6221404075622559,-
10relu_adam_dropout_1_At_7_v1,-,-,,,-,-,0.00020179205211171502,-,"in user code:


    ValueError: `rate` must be a scalar tensor or a float in the range [0, 1). Received: rate=1
"
